,id,width,npaths,length,fatness,centroid_x,centroid_y,centroid_y_pix,centroid_x_pix,img_x,img_y,N,label
0,0,8.0,1,32.071067811865476,3.0868944115222923,12.066242784992784,1.5852047258297257,119.13131313131314,191.07070707070707,11,1,151,0_11_1
0,0,8.0,1,68.87005768508878,4.733552010231335,10.529500575153374,17.06059309268186,33.941717791411044,94.88650306748467,10,16,152,0_10_16
1,1,12.0,1,60.24264068711929,5.2620535286026895,10.919174600045066,17.05157165389815,35.5583596214511,164.7160883280757,10,16,153,1_10_16
0,0,5.656854249492381,1,128.5979797464466,2.7760933780133086,12.893154136654662,20.7843762505002,83.43977591036415,160.0532212885154,12,20,154,0_12_20
0,0,6.0,1,10.65685424949238,4.410307103734553,10.257290083586627,15.207375569908814,7.638297872340425,46.1063829787234,10,14,155,0_10_14
0,0,8.94427190999916,1,65.01219330881972,7.075595770395201,17.599014945652172,11.211022418478262,186.18478260869566,107.34347826086956,17,11,156,0_17_11
0,0,8.94427190999916,1,10.65685424949238,4.78565238915877,25.064097514005603,2.0377275910364148,38.03921568627451,190.68627450980392,24,1,157,0_24_1
0,0,4.0,1,20.071067811865476,2.4911479782077834,34.14319196428571,7.761495535714285,87.54,204.86,33,7,158,0_33_7
1,1,6.0,1,27.899494936611667,2.795749535151726,34.10090430402931,7.565476190476191,122.66666666666667,197.28205128205127,33,7,159,1_33_7
2,2,4.47213595499958,1,36.31370849898477,2.6436297466749754,34.058465866815474,7.372140066964286,157.3125,189.67708333333334,33,7,160,2_33_7
0,0,14.0,1,188.16652224137061,7.291413922398305,26.00123076973136,1.508861867451062,132.81195335276968,179.42055393586006,25,1,161,0_25_1
0,0,4.0,1,19.65685424949238,3.0014975565850586,5.205167978208232,10.688653904358354,100.59322033898304,215.96610169491527,4,10,162,0_4_10
1,1,6.324555320336759,1,32.899494936611674,3.1003515463239206,5.173242734593837,10.492001488095237,135.83333333333334,210.2450980392157,4,10,163,1_4_10
0,0,6.0,1,10.242640687119286,4.68629150101524,24.372721354166668,17.64755394345238,107.95833333333333,66.79166666666667,24,17,164,0_24_17
1,1,5.656854249492381,1,15.242640687119287,2.3617954879971426,24.32862103174603,17.58531746031746,119.11111111111111,58.888888888888886,24,17,165,1_24_17
